H. sapiens,D. melanogaster,C. elegans
3784,-7191,-8758
1180,-3959,-3013
1348,8269,-1357
1263,-13482,-1416
2902,-1777,-1887
4425,67728,-1484
1504,-1257,-1464
2804,-4729,-3846
1377,-7644,-3883
6609,-3040,-3019
1421,10126,-3254
1038,-2988,-1449
1228,1082,-7806
1165,527926,8371
1193,7839,-2616
1121,122847,-5197
1290,163930,-5879
1201,6279,-2516
188056468,-25698,-4269
-188061917,-116265,-3184
1094,1638,-3338
1083,1300,-1527
1492,1119,-2545
2141,9098,-2448
3441,-1020,-1879
2838,-1008,10439937
1729,-1664,-10443866
3390,-1114,-3325
1924,-1958,328260
9840,-1159,310337
4071,-1600,-1672
6423,17500,-1214
3902,-23620,-6630
2995,16477,-3332
-3221,-5329,-3609
1318,-12629,-1631
1046,1910,-3479
1599,1620,-1263
1541,-5193,-1641
1201,1386046,-2459
3261,7005,-6516285
1569,5301,6512829
1356,-7439,6514155
1279,-7445,-116096
1068,12226,115033
1074,1617137,-3448
1243,-1674020,-3608
2151,-14499,-1850
5444,1756952,-5513
1035,1757909,-3519
1149,-1673994,1195
2734,8638,-4702
1094,13892,-3981
1294,1088,-1866
1324,122400,-2344
1236,3146,-3160
1656,2095,-4488
1506,1272,-2950
1094,1362,-6964
5053,13937515,-1815
1104,-4109,-1612
1676,-4342,1613
1398,-3605,-8957
1744,-8604,-2142
2893,-21745,-8953
-2227,1135109,-1057
1370,217192,-6366
2789,-6000,-3364
2879,1955956,-7198
1609,-8603,-7196
3425,1525133,-7197
3681,-2224,-7196
2943,-22969667,-7197
5834,22968247,-7196
1714,115926,-7196
3510,-256934,-7197
1213,300982,-7196
1632,-1565483,-7196
2101,-4959,-7198
2154,-22835534,-7196
1327,1085,-7198
4527,1498,-7196
3154,-10002,-7195
1126,-6118,-7198
2468,-2036,-7197
1627,33407,-7197
1793,1071,-7196
1984,1225,-7401
1085,-3216,-7196
1797,1664,-7196
2093,-1076,-7198
5320,1244,-7195
1547,1026,-7197
1156,1158,-7196
1948,18168,-7195
2643,1234,-7227
1541,1028,-7196
2839,4845464,-7197
1135,-4846876,-7196
1407,17020302,-7197
3114,193026,-7198
1353,-6720,-7196
1090,1416,-7198
3025,3524070,-3841
1622,3203,-3165
1176,-5980,-1059
2135,-5979,-3299
1130,36498,-2131
1658,-41904,-2778
1285,-5302,-4121
2823,117509,-2551
1047,1639818,-6025
1134,-4681,-6709
3436,-16804,5025
11519,-52415,1078
1214,-11495,-1275
2419,11507,-1406
1005,-46297,3936053
2352,-9816,-3937664
1253,-36854,-1281
1454,-12001,-1650
1393,17242,-2543
1305,21297,-1588
-1995,1025,-2846
2191,1004,-4445
6234,-1115,1522
2030,-6758,-1993
1526,1046,-2589
1776,832931,2047
1889,793456,-3231
1545,11670122,-1427
1470,20711,1405
3992,-8027,-8083
1115,630230,-3244
1397,1621,-2863
1480,115020,-1973
-51811947,-33602,-2172
51808996,7238,-1585
1834,118229,-3186
2687,-245578,-1838
4122,249229,-3365
6714,-11454,-2651
1222,-23941,-2841
1099,1053,-7581
2821,1017,-4150
2134,1067,-3543
2743,1642,-2450
1017,2441,1049
1035,-1387,-5754
1003,-1268,-4953
1179,6222,-1535
1394,-19534,-1811
2960,390712,-1243
1066,-1307,-4272
1569,75156,-2874
2146,131721,-2402
1626,-1157701,-4566
1385,-3605,-4590
1031,-6423,-1865
1310,-1986,-3913
1011,-4886,-6848
1843,-88035,-2996
2014,-1080,-3156
2295,-5178,-4217
2399,847448,-3268
4093,12542652,-5751
1575,12547812,1141
2184,-8721,-4007
7778,-16803,39060
1912,-16804,2733
2489,181327,-2061
1246,187233,-2267
1607,373137,-2232
2536,-2603,-5262
-1412,-5300,-4929
1096,-2638,-23732
3626,1707,-2413
2443,-2151,11374
1297,-3345,-2593
1761,-1227,-2006
3978,1070,-2507
2260,-5219,-1179
1054,920063,-2879
1507,-2722,-4925
2152,-2089,3511
2843,1745493,-6671
1052,1746330,-1367
1644,-36638,-2239
1093,1694542,-8991
1889,-1723282,-3143
1306,47562,-3195
3494,-10026,-16815
2678,-10048,-2336
1976,-10157,-3488
1027,24423,-4047
1544,-12002,-3158
1161,-36190,-1363
1003,24423,-2922
1749,-36430,-7061
1269,-36840,-7102
1160,-12192,-6862
2073,-251426,-3149
1099,-29839,-3922
1214,-13000,2917
5131,1482,1645
1788,6332,-3865
4399,1649439,-2120
1569,-3487,-2959
3151,2463,-1086
1184,38026,-5093
1821,5963844,-1127
1279,40908,-1345
1178,-3917,-3605
3200,-39600,-1162
2088,-6127,-3549
2261,34189,-3764
1003,-1146,-3431
1764,-1146,-2525
1347,-1146,-2773
2439,-14272,-1525
1088,-128013,-2764
5134,-170267,9858714
1587,223343,9909135
5613,-53813,-7889
1958,-12434,-1250
1662,-12565,-6175
1684,-11767,-2966
2958,24665,-4305
1067,-12505,-8314
2631,-36190,-1616
3545,21700,-2491
1375,11550,-2385
1558,28615,-2569
4025,-36693,-2388
2833,-36197,-2543
1517,-11761,-7194
1780,-11774,-7196
1846,17432,-7197
1532,-36846,-7195
1816,-36575,-7194
1104,24423,-7196
3052,-36200,-7196
1328,-36148,-7197
1282,-11757,-7196
2711,-36190,-7607
1462,-9956,-7196
1305,-36856,-7198
3187,3510015,-7287
5636,-3434,-7197
2698,-3903,-2597
2046,-3249,-7197
1161,11736,-7196
1446,4192,-7197
1068,-16805,-7196
1328,-11836,12938950
1635,17876,7065
1267,27535,-7214
