H. sapiens,C. elegans,D. melanogaster
85.65,99.82,84.8
85.65,99.82,84.8
85.65,99.82,84.8
85.65,99.82,84.8
85.65,99.82,84.8
85.65,99.82,84.8
85.65,99.82,84.8
85.65,99.83,84.81
85.65,99.83,84.81
85.65,99.83,84.81
85.66,99.83,84.81
85.66,99.83,84.81
85.66,99.83,84.81
85.66,99.83,84.81
85.66,99.83,84.81
85.66,99.83,84.81
85.66,99.83,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.84,84.81
85.66,99.85,84.82
85.66,99.85,84.82
85.66,99.85,84.82
85.66,99.85,84.82
85.66,99.85,84.82
85.66,99.85,84.82
85.67,99.85,84.82
85.67,99.85,84.82
85.67,99.85,84.82
85.67,99.85,84.82
85.67,99.85,84.82
85.67,99.85,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.86,84.82
85.67,99.87,84.82
85.67,99.87,84.82
85.67,99.87,84.82
85.67,99.87,84.83
85.67,99.87,84.83
85.67,99.87,84.83
85.67,99.87,84.83
85.67,99.87,84.83
85.67,99.87,84.83
85.67,99.87,84.83
85.68,99.87,84.83
85.68,99.87,84.83
85.68,99.87,84.83
85.68,99.87,84.83
85.68,99.87,84.83
85.68,99.87,84.83
85.68,99.87,84.83
85.68,99.87,84.83
85.68,99.87,84.83
85.68,99.88,84.83
85.68,99.88,84.83
85.68,99.88,84.83
85.68,99.88,84.83
85.68,99.88,84.83
85.68,99.88,84.83
85.68,99.88,84.83
85.68,99.88,84.83
85.68,99.88,84.83
85.68,99.88,84.84
85.68,99.88,84.84
85.68,99.88,84.84
85.68,99.88,84.84
85.68,99.88,84.84
85.68,99.88,84.84
85.68,99.88,84.84
85.68,99.88,84.84
85.68,99.89,84.84
85.68,99.89,84.84
85.68,99.89,84.84
85.68,99.89,84.84
85.68,99.89,84.84
85.68,99.89,84.84
85.68,99.89,84.84
85.68,99.89,84.84
85.68,99.89,84.84
85.68,99.89,84.84
85.68,99.89,84.84
85.68,99.89,84.84
85.69,99.89,84.84
85.69,99.89,84.84
85.69,99.89,84.84
85.69,99.89,84.84
85.69,99.89,84.84
85.69,99.89,84.84
85.69,99.89,84.84
85.69,99.89,84.84
85.69,99.89,84.84
85.69,99.89,84.84
85.69,99.89,84.84
85.69,99.89,84.84
85.69,99.89,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.9,84.85
85.69,99.91,84.85
85.69,99.91,84.85
85.69,99.91,84.85
85.69,99.91,84.85
85.69,99.91,84.85
85.69,99.91,84.85
85.69,99.91,84.85
85.7,99.91,84.85
85.7,99.91,84.85
85.7,99.91,84.85
85.7,99.91,84.85
85.7,99.91,84.85
85.7,99.91,84.85
85.7,99.91,84.85
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.92,84.86
85.7,99.93,84.86
85.7,99.93,84.86
85.7,99.93,84.86
85.7,99.93,84.86
85.7,99.93,84.86
85.7,99.93,84.86
85.7,99.94,84.87
85.7,99.94,84.87
85.7,99.94,84.87
85.7,99.94,84.87
85.7,99.94,84.87
85.71,99.94,84.87
85.71,99.95,84.87
85.71,99.95,84.87
85.71,99.95,84.87
85.71,99.95,84.87
85.71,99.95,84.87
85.71,99.98,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.87
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.71,100,84.88
85.72,100,84.88
85.72,100,84.88
85.72,100,84.88
85.72,100,84.88
85.72,100,84.88
85.72,100,84.88
85.72,100,84.88
85.72,100,84.88
85.72,100,84.88
85.72,100,84.88
85.72,100,84.88
85.72,100,84.88
85.72,100,84.88
85.72,100,84.89
85.72,100,84.89
85.72,100,84.89
85.72,100,84.89
85.72,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.73,100,84.89
85.74,100,84.89
85.74,100,84.89
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.9
85.74,100,84.91
85.74,100,84.91
85.74,100,84.91
85.74,100,84.91
85.74,100,84.91
85.74,100,84.91
85.74,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.75,100,84.91
85.76,100,84.91
85.76,100,84.91
85.76,100,84.91
85.76,100,84.91
85.76,100,84.91
85.76,100,84.91
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.76,100,84.92
85.77,100,84.92
85.77,100,84.92
85.77,100,84.92
85.77,100,84.92
85.77,100,84.92
85.77,100,84.92
85.77,100,84.92
85.77,100,84.92
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.77,100,84.93
85.78,100,84.93
85.78,100,84.93
85.78,100,84.93
85.78,100,84.93
85.78,100,84.93
85.78,100,84.93
85.78,100,84.93
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.78,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.94
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.79,100,84.95
85.8,100,84.95
85.8,100,84.95
85.8,100,84.95
85.8,100,84.95
85.8,100,84.95
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.8,100,84.96
85.81,100,84.96
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.97
85.81,100,84.98
85.81,100,84.98
85.81,100,84.98
85.81,100,84.98
85.81,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.98
85.82,,84.99
85.82,,84.99
85.82,,84.99
85.82,,84.99
85.82,,84.99
85.82,,84.99
85.83,,84.99
85.83,,84.99
85.83,,84.99
85.83,,84.99
85.83,,84.99
85.83,,84.99
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.83,,85
85.84,,85
85.84,,85
85.84,,85
85.84,,85
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.01
85.84,,85.02
85.84,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.02
85.85,,85.03
85.85,,85.03
85.85,,85.03
85.85,,85.03
85.85,,85.03
85.85,,85.03
85.85,,85.03
85.86,,85.03
85.86,,85.03
85.86,,85.03
85.86,,85.03
85.86,,85.03
85.86,,85.03
85.86,,85.03
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.04
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.86,,85.05
85.87,,85.05
85.87,,85.06
85.87,,85.06
85.87,,85.06
85.87,,85.06
85.87,,85.06
85.87,,85.06
85.87,,85.06
85.87,,85.06
85.87,,85.06
85.87,,85.06
85.87,,85.06
85.87,,85.06
85.87,,85.07
85.87,,85.07
85.87,,85.07
85.87,,85.07
85.87,,85.07
85.87,,85.07
85.87,,85.07
85.87,,85.07
85.87,,85.07
85.87,,85.07
85.87,,85.07
85.87,,85.07
85.88,,85.07
85.88,,85.07
85.88,,85.07
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.08
85.88,,85.09
85.88,,85.09
85.88,,85.09
85.88,,85.09
85.88,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.09
85.89,,85.1
85.89,,85.1
85.89,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.1
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.11
85.9,,85.12
85.9,,85.12
85.9,,85.12
85.9,,85.12
85.9,,85.12
85.9,,85.12
85.9,,85.12
85.9,,85.12
85.9,,85.12
85.91,,85.12
85.91,,85.12
85.91,,85.12
85.91,,85.12
85.91,,85.12
85.91,,85.12
85.91,,85.12
85.91,,85.12
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.13
85.91,,85.14
85.91,,85.14
85.91,,85.14
85.91,,85.14
85.91,,85.14
85.91,,85.14
85.91,,85.14
85.91,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.14
85.92,,85.15
85.92,,85.15
85.92,,85.15
85.92,,85.15
85.92,,85.15
85.92,,85.15
85.92,,85.15
85.92,,85.15
85.92,,85.15
85.92,,85.15
85.92,,85.15
85.92,,85.15
85.92,,85.15
85.92,,85.15
85.93,,85.15
85.93,,85.15
85.93,,85.15
85.93,,85.15
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.16
85.93,,85.17
85.93,,85.17
85.93,,85.17
85.93,,85.17
85.93,,85.17
85.93,,85.17
85.93,,85.17
85.93,,85.17
85.93,,85.17
85.93,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.17
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.94,,85.18
85.95,,85.18
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.19
85.95,,85.2
85.95,,85.2
85.95,,85.2
85.95,,85.2
85.95,,85.2
85.95,,85.2
85.95,,85.2
85.95,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.2
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.96,,85.21
85.97,,85.21
85.97,,85.21
85.97,,85.21
85.97,,85.21
85.97,,85.21
85.97,,85.21
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.97,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.22
85.98,,85.23
85.98,,85.23
85.98,,85.23
85.98,,85.23
85.98,,85.23
85.98,,85.23
85.98,,85.23
85.98,,85.23
85.98,,85.23
85.98,,85.23
85.98,,85.23
85.98,,85.23
85.98,,85.23
85.99,,85.23
85.99,,85.23
85.99,,85.23
85.99,,85.23
85.99,,85.23
85.99,,85.23
85.99,,85.23
85.99,,85.23
85.99,,85.23
85.99,,85.23
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.24
85.99,,85.25
85.99,,85.25
85.99,,85.25
85.99,,85.25
85.99,,85.25
85.99,,85.25
85.99,,85.25
85.99,,85.25
85.99,,85.25
85.99,,85.25
85.99,,85.25
85.99,,85.25
85.99,,85.25
85.99,,85.25
85.99,,85.25
86,,85.25
86,,85.25
86,,85.25
86,,85.25
86,,85.25
86,,85.25
86,,85.25
86,,85.25
86,,85.25
86,,85.25
86,,85.25
86,,85.25
86,,85.25
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.26
86,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.01,,85.27
86.02,,85.27
86.02,,85.27
86.02,,85.27
86.02,,85.27
86.02,,85.27
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.02,,85.28
86.03,,85.28
86.03,,85.28
86.03,,85.28
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.03,,85.29
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.04,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.3
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.05,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.31
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.06,,85.32
86.07,,85.32
86.07,,85.32
86.07,,85.32
86.07,,85.32
86.07,,85.32
86.07,,85.32
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
86.07,,85.33
