H. sapiens,C. elegans,D. melanogaster
81.91,82.06,80.52
81.92,82.08,80.52
81.92,82.08,80.53
81.93,82.08,80.53
81.93,82.09,80.53
81.93,82.1,80.53
81.93,82.1,80.54
81.93,82.1,80.54
81.94,82.11,80.54
81.94,82.12,80.54
81.94,82.12,80.54
81.95,82.16,80.54
81.95,82.16,80.54
81.96,82.17,80.56
81.96,82.18,80.56
81.97,82.18,80.56
81.97,82.18,80.56
81.97,82.19,80.56
81.97,82.19,80.57
81.98,82.19,80.57
81.98,82.19,80.57
82,82.26,80.58
82,82.26,80.58
82,82.27,80.59
82.01,82.27,80.59
82.02,82.27,80.59
82.02,82.27,80.6
82.02,82.28,80.6
82.02,82.28,80.6
82.03,82.28,80.6
82.03,82.29,80.6
82.03,82.29,80.6
82.04,82.29,80.6
82.04,82.3,80.6
82.04,82.3,80.61
82.04,82.3,80.61
82.06,82.31,80.61
82.07,82.32,80.62
82.07,82.33,80.62
82.07,82.33,80.63
82.08,82.34,80.63
82.08,82.36,80.63
82.08,82.37,80.63
82.09,82.37,80.64
82.09,82.37,80.64
82.09,82.39,80.64
82.11,82.4,80.65
82.11,82.41,80.65
82.12,82.41,80.65
82.12,82.41,80.65
82.12,82.41,80.65
82.12,82.42,80.65
82.13,82.43,80.65
82.13,82.44,80.66
82.14,82.46,80.66
82.14,82.47,80.67
82.15,82.47,80.67
82.17,82.48,80.67
82.17,82.48,80.67
82.18,82.48,80.67
82.18,82.49,80.68
82.19,82.5,80.68
82.19,82.5,80.68
82.19,82.5,80.68
82.2,82.5,80.68
82.21,82.51,80.69
82.21,82.52,80.69
82.21,82.53,80.69
82.21,82.53,80.7
82.21,82.55,80.7
82.22,82.56,80.7
82.22,82.56,80.7
82.22,82.56,80.7
82.24,82.57,80.7
82.24,82.58,80.7
82.24,82.58,80.7
82.24,82.61,80.71
82.24,82.61,80.72
82.25,82.62,80.72
82.26,82.62,80.72
82.26,82.63,80.72
82.26,82.64,80.72
82.27,82.66,80.72
82.27,82.67,80.73
82.27,82.67,80.73
82.28,82.67,80.73
82.28,82.67,80.73
82.28,82.67,80.73
82.28,82.68,80.73
82.28,82.68,80.73
82.29,82.69,80.74
82.29,82.72,80.74
82.29,82.72,80.74
82.3,82.73,80.75
82.3,82.74,80.75
82.3,82.74,80.75
82.3,82.75,80.75
82.31,82.75,80.75
82.31,82.76,80.75
82.31,82.77,80.75
82.32,82.78,80.75
82.33,82.78,80.76
82.33,82.8,80.76
82.34,82.81,80.76
82.35,82.84,80.76
82.35,82.84,80.76
82.35,82.85,80.77
82.37,82.85,80.77
82.37,82.85,80.78
82.37,82.86,80.78
82.38,82.86,80.78
82.38,82.86,80.78
82.39,82.87,80.79
82.39,82.88,80.79
82.39,82.9,80.79
82.39,82.9,80.8
82.4,82.92,80.8
82.4,82.93,80.8
82.41,82.93,80.81
82.41,82.93,80.81
82.41,82.93,80.81
82.42,82.93,80.82
82.42,82.94,80.82
82.42,82.94,80.82
82.43,82.94,80.83
82.43,82.95,80.83
82.43,82.95,80.83
82.45,82.97,80.83
82.45,82.97,80.83
82.45,82.98,80.83
82.46,82.98,80.83
82.46,82.99,80.83
82.46,82.99,80.83
82.47,82.99,80.84
82.47,83,80.84
82.47,83,80.84
82.48,83.01,80.85
82.5,83.01,80.85
82.5,83.01,80.85
82.5,83.02,80.85
82.5,83.03,80.86
82.5,83.03,80.86
82.51,83.07,80.86
82.52,83.07,80.86
82.52,83.08,80.86
82.53,83.09,80.87
82.53,83.09,80.87
82.53,83.09,80.87
82.54,83.1,80.87
82.54,83.1,80.87
82.54,83.12,80.88
82.54,83.12,80.88
82.55,83.12,80.88
82.55,83.13,80.89
82.55,83.13,80.89
82.55,83.13,80.89
82.55,83.14,80.89
82.55,83.15,80.9
82.56,83.15,80.9
82.57,83.15,80.91
82.57,83.16,80.91
82.58,83.17,80.91
82.58,83.18,80.91
82.58,83.19,80.91
82.59,83.19,80.91
82.59,83.21,80.91
82.59,83.21,80.92
82.59,83.21,80.92
82.6,83.22,80.93
82.6,83.23,80.93
82.6,83.24,80.93
82.61,83.25,80.93
82.61,83.25,80.93
82.61,83.25,80.93
82.61,83.25,80.93
82.61,83.26,80.94
82.61,83.27,80.94
82.62,83.27,80.94
82.62,83.3,80.95
82.62,83.3,80.95
82.62,83.3,80.95
82.63,83.3,80.95
82.63,83.3,80.95
82.64,83.31,80.96
82.65,83.32,80.96
82.65,83.32,80.96
82.65,83.32,80.96
82.66,83.33,80.97
82.66,83.33,80.97
82.66,83.33,80.97
82.66,83.33,80.97
82.66,83.34,80.97
82.66,83.35,80.97
82.67,83.38,80.98
82.67,83.39,80.98
82.67,83.39,80.98
82.68,83.4,80.98
82.68,83.4,80.99
82.68,83.4,80.99
82.69,83.41,80.99
82.69,83.41,80.99
82.7,83.41,81
82.7,83.41,81
82.7,83.42,81
82.7,83.44,81
82.7,83.46,81
82.7,83.46,81
82.7,83.46,81
82.7,83.48,81.01
82.71,83.48,81.01
82.71,83.48,81.01
82.71,83.48,81.01
82.71,83.49,81.01
82.71,83.52,81.01
82.72,83.53,81.01
82.72,83.53,81.01
82.72,83.54,81.01
82.72,83.54,81.02
82.73,83.55,81.02
82.73,83.55,81.03
82.73,83.55,81.03
82.73,83.55,81.03
82.73,83.56,81.03
82.74,83.57,81.04
82.74,83.57,81.04
82.75,83.57,81.04
82.75,83.58,81.04
82.75,83.58,81.04
82.75,83.58,81.05
82.75,83.58,81.05
82.76,83.59,81.05
82.76,83.59,81.05
82.76,83.6,81.05
82.76,83.61,81.05
82.76,83.63,81.06
82.76,83.63,81.06
82.77,83.63,81.06
82.77,83.64,81.06
82.77,83.65,81.06
82.78,83.65,81.06
82.78,83.68,81.07
82.78,83.68,81.07
82.78,83.69,81.07
82.78,83.69,81.07
82.79,83.69,81.08
82.79,83.69,81.08
82.79,83.69,81.08
82.79,83.7,81.08
82.8,83.7,81.08
82.8,83.72,81.08
82.8,83.72,81.09
82.8,83.72,81.09
82.81,83.75,81.09
82.81,83.75,81.09
82.82,83.75,81.09
82.82,83.76,81.09
82.83,83.77,81.09
82.83,83.77,81.09
82.83,83.77,81.1
82.83,83.78,81.1
82.84,83.79,81.1
82.84,83.8,81.1
82.84,83.8,81.1
82.84,83.81,81.1
82.84,83.81,81.1
82.84,83.81,81.1
82.84,83.81,81.11
82.84,83.81,81.11
82.85,83.82,81.11
82.85,83.83,81.11
82.85,83.83,81.11
82.85,83.83,81.11
82.85,83.83,81.11
82.85,83.84,81.11
82.86,83.84,81.12
82.86,83.85,81.12
82.86,83.85,81.12
82.86,83.85,81.12
82.86,83.89,81.12
82.87,83.9,81.13
